Release  Id : 430	County Median Age
B01002001E001001              Estimate, Median Age by Sex, Total Population (5-year estimate) in Autauga County, AL                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013317              Estimate, Median Age by Sex, Total Population (5-year estimate) in Wilkes County, GA                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013319              Estimate, Median Age by Sex, Total Population (5-year estimate) in Wilkinson County, GA                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E013321              Estimate, Median Age by Sex, Total Population (5-year estimate) in Worth County, GA                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E015001              Estimate, Median Age by Sex, Total Population (5-year estimate) in Hawaii County, HI                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E015003              Estimate, Median Age by Sex, Total Population (5-year estimate) in Honolulu County, HI                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E015005              Estimate, Median Age by Sex, Total Population (5-year estimate) in Kalawao County, HI                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E015007              Estimate, Median Age by Sex, Total Population (5-year estimate) in Kauai County, HI                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E015009              Estimate, Median Age by Sex, Total Population (5-year estimate) in Maui County, HI                                         NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E016001              Estimate, Median Age by Sex, Total Population (5-year estimate) in Ada County, ID                                          NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E016003              Estimate, Median Age by Sex, Total Population (5-year estimate) in Adams County, ID                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E016005              Estimate, Median Age by Sex, Total Population (5-year estimate) in Bannock County, ID                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E016007              Estimate, Median Age by Sex, Total Population (5-year estimate) in Bear Lake County, ID                                    NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E016009              Estimate, Median Age by Sex, Total Population (5-year estimate) in Benewah County, ID                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E016011              Estimate, Median Age by Sex, Total Population (5-year estimate) in Bingham County, ID                                      NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E016013              Estimate, Median Age by Sex, Total Population (5-year estimate) in Blaine County, ID                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E016015              Estimate, Median Age by Sex, Total Population (5-year estimate) in Boise County, ID                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E016017              Estimate, Median Age by Sex, Total Population (5-year estimate) in Bonner County, ID                                       NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E016019              Estimate, Median Age by Sex, Total Population (5-year estimate) in Bonneville County, ID                                   NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E016021              Estimate, Median Age by Sex, Total Population (5-year estimate) in Boundary County, ID                                     NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E016023              Estimate, Median Age by Sex, Total Population (5-year estimate) in Butte County, ID                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
B01002001E016025              Estimate, Median Age by Sex, Total Population (5-year estimate) in Camas County, ID                                        NSA  08-Dec-2022 01-Jan-2021             Annual             
